"","key","clid","cl_label"
"18889","cd38-negative unswitched memory b lymphocyte","CL:0002111","CD38-negative unswitched memory B cell"
"18890","cd38-negative unswitched memory b-cell","CL:0002111","CD38-negative unswitched memory B cell"
"18891","cd38-negative unswitched memory b-lymphocyte","CL:0002111","CD38-negative unswitched memory B cell"
"18892","cd38+ unswitched memory b cell","CL:0002114","CD38-positive unswitched memory B cell"
"18893","cd38+ unswitched memory b lymphocyte","CL:0002114","CD38-positive unswitched memory B cell"
"18894","cd38+ unswitched memory b-cell","CL:0002114","CD38-positive unswitched memory B cell"
"18895","cd38+ unswitched memory b-lymphocyte","CL:0002114","CD38-positive unswitched memory B cell"
"18896","cd38-positive unswitched memory b lymphocyte","CL:0002114","CD38-positive unswitched memory B cell"
"18897","cd38-positive unswitched memory b-cell","CL:0002114","CD38-positive unswitched memory B cell"
"18898","cd38-positive unswitched memory b-lymphocyte","CL:0002114","CD38-positive unswitched memory B cell"
"18899","igg- class switched memory b cell","CL:0002117","IgG-negative class switched memory B cell"
"18900","igg- class switched memory b lymphocyte","CL:0002117","IgG-negative class switched memory B cell"
"18901","igg- class switched memory b-cell","CL:0002117","IgG-negative class switched memory B cell"
"18902","igg- class switched memory b-lymphocyte","CL:0002117","IgG-negative class switched memory B cell"
"18903","igg-negative class switched memory b lymphocyte","CL:0002117","IgG-negative class switched memory B cell"
"18904","igg-negative class switched memory b-cell","CL:0002117","IgG-negative class switched memory B cell"
"18905","igg-negative class switched memory b-lymphocyte","CL:0002117","IgG-negative class switched memory B cell"
"18906","gammadelta27-positive","CL:0002124","CD27-positive gamma-delta T cell"
"18907","gd27-positive","CL:0002124","CD27-positive gamma-delta T cell"
"18908","gammadelta-17 cells","CL:0002125","CD27-negative gamma-delta T cell"
"18909","cd8-positive th17 cell","CL:0002128","Tc17 cell"
"18910","tc17 cd8+ t cell","CL:0002128","Tc17 cell"
"18911","tc17 t cell","CL:0002128","Tc17 cell"
"18912","tc17 t lymphocyte","CL:0002128","Tc17 cell"
"18913","tc17 t-cell","CL:0002128","Tc17 cell"
"18914","tc17 t-lymphocyte","CL:0002128","Tc17 cell"
"18915","th17 cd8-positive t cell","CL:0002128","Tc17 cell"
"18916","th17 non-tfh cd8-positive t cell","CL:0002128","Tc17 cell"
"18917","atrial cardiac muscle cell","CL:0002129","regular atrial cardiac myocyte"
"18918","atrial myocyte","CL:0002129","regular atrial cardiac myocyte"
"18919","regular atrial cardiac muscle fiber","CL:0002129","regular atrial cardiac myocyte"
"18920","regular cardiac muscle cell of atrium","CL:0002129","regular atrial cardiac myocyte"
"18921","regular cardiac muscle cell of ventricle","CL:0002131","regular ventricular cardiac myocyte"
"18922","regular ventricular cardiac muscle fiber","CL:0002131","regular ventricular cardiac myocyte"
"18923","ventricular myocyte","CL:0002131","regular ventricular cardiac myocyte"
"18924","ovarian stromal cell","CL:0002132","stromal cell of ovary"
"18925","type ii cortical cell of adrenal gland","CL:0002136","type II cell of adrenal cortex"
"18926","lec","CL:0002138","endothelial cell of lymphatic vessel"
"18927","lymphatic endothelial cell","CL:0002138","endothelial cell of lymphatic vessel"
"18928","cubodial endothelial cell of vascular tree","CL:0002139","endothelial cell of vascular tree"
"18929","vascular endothelial cell","CL:0002139","endothelial cell of vascular tree"
"18930","acinar cell of sebaceous gland","CL:0002140","skin sebocyte"
"18931","acinar cell of skin sebaceous gland","CL:0002140","skin sebocyte"
"18932","ciliated columnar cell of tracheobronchial tree","CL:0002145","multiciliated columnar cell of tracheobronchial tree"
"18933","clear chief cell of parathyroid cell","CL:0002147","clear chief cell of parathyroid gland"
"18934","epithelioid cell","CL:0002150","epithelioid macrophage"
"18935","epithelioid histocyte","CL:0002150","epithelioid macrophage"
"18936","epitheloid macrophage","CL:0002150","epithelioid macrophage"
"18937","burr cell","CL:0002155","echinocyte"
"18938","epithelial cell rests of malassez","CL:0002166","epithelial cell of Malassez"
"18939","epithelial debris of malassez","CL:0002166","epithelial cell of Malassez"
"18940","horizontal basal cell","CL:0002169","basal cell of olfactory epithelium"
"18941","blastema cell of olfactory epithelium","CL:0002171","globose cell of olfactory epithelium"
"18942","interdental cell","CL:0002172","interdental cell of cochlea"
"18943","goormaghtigh cell","CL:0002173","extraglomerular mesangial cell"
"18944","lacis cell","CL:0002173","extraglomerular mesangial cell"
"18945","polar cushion cells","CL:0002173","extraglomerular mesangial cell"
"18946","folliculostellate cell of pars anterior of adenohypophysis","CL:0002177","folliculostellate cell of pars distalis of adenohypophysis"
"18947","surface mucosal cell of stomach","CL:0002179","foveolar cell of stomach"
"18948","mucous neck cell","CL:0002181","mucous neck cell of gastric gland"
"18949","horizontal basal cells","CL:0002184","basal proper cell of olfactory epithelium"
"18950","epidermal basal cell","CL:0002187","basal cell of epidermis"
"18951","epidermal basal keratinocyte","CL:0002187","basal cell of epidermis"
"18952","granular keratinocyte","CL:0002189","granular cell of epidermis"
"18953","hpsc","CL:0002195","hepatic stem cell"
"18954","hepatic oval cell","CL:0002196","hepatic oval stem cell"
"18955","hepatic progenitor cell","CL:0002196","hepatic oval stem cell"
"18956","liver progenitor cell","CL:0002196","hepatic oval stem cell"
"18957","oxyphil","CL:0002198","oncocyte"
"18958","askanazy cells","CL:0002200","oxyphil cell of thyroid"
"18959","hurthle cells","CL:0002200","oxyphil cell of thyroid"
"18960","type b intercalated cell","CL:0002201","renal beta-intercalated cell"
"18961","type b-ic","CL:0002201","renal beta-intercalated cell"
"18962","brush cell of epithelium proper of large intestine","CL:0002203","tuft cell of large intestine"
"18963","brush cell of large intestine","CL:0002203","tuft cell of large intestine"
"18964","tuft cell of epithelium of large intestine","CL:0002203","tuft cell of large intestine"
"18965","brush cell","CL:0002204","tuft cell"
"18966","caveolated cell","CL:0002204","tuft cell"
"18967","fibrillovesicular cell","CL:0002204","tuft cell"
"18968","multivesicular cell","CL:0002204","tuft cell"
"18969","peculiar cell","CL:0002204","tuft cell"
"18970","undifferentiated columnar cell of tracheobronchial tree","CL:0002209","intermediate epitheliocyte"
"18971","oxidative muscle fiber","CL:0002210","red muscle cell"
"18972","red muscle fiber","CL:0002210","red muscle cell"
"18973","intermediate muscle fiber","CL:0002211","type I muscle cell"
"18974","slow twitch fiber","CL:0002211","type I muscle cell"
"18975","slow twitch muscle cell","CL:0002211","type I muscle cell"
"18976","slow twitch muscle fiber","CL:0002211","type I muscle cell"
"18977","slow-twitch muscle fiber","CL:0002211","type I muscle cell"
"18978","type 1 muscle cell","CL:0002211","type I muscle cell"
"18979","type 1 muscle fiber","CL:0002211","type I muscle cell"
"18980","type i muscle fiber","CL:0002211","type I muscle cell"
"18981","type 2 muscle cell","CL:0002212","type II muscle cell"
"18982","type 2 muscle fiber","CL:0002212","type II muscle cell"
"18983","type ii muscle fiber","CL:0002212","type II muscle cell"
"18984","fast twitch a","CL:0002214","type IIa muscle cell"
"18985","fatigue resistant fast twitch muscle cell","CL:0002214","type IIa muscle cell"
"18986","type 2a muscle cell","CL:0002214","type IIa muscle cell"
"18987","type 2a muscle fiber","CL:0002214","type IIa muscle cell"
"18988","type iia muscle fiber","CL:0002214","type IIa muscle cell"
"18989","type 2b muscle cell","CL:0002215","type IIb muscle cell"
"18990","type 2b muscle fiber","CL:0002215","type IIb muscle cell"
"18991","type iib muscle fiber","CL:0002215","type IIb muscle cell"
"18992","immature dec precursor","CL:0002218","immature dendritic epithelial T cell precursor"
"18993","immature detc precursor","CL:0002218","immature dendritic epithelial T cell precursor"
"18994","secondary lens fibre","CL:0002225","secondary lens fiber"
"18995","non-nucleated secondary lens fibre","CL:0002226","non-nucleated secondary lens fiber"
"18996","nucleated secondary lens fibre","CL:0002227","nucleated secondary lens fiber"
"18997","primary lens fibre","CL:0002228","primary lens fiber"
"18998","prostate epithelial cell","CL:0002231","epithelial cell of prostate"
"18999","ductal epithelial cell of prostate","CL:0002232","epithelial cell of prostatic duct"
"19000","acinar epithelial cell of prostate","CL:0002233","epithelial cell of prostatic acinus"
"19001","basal epithelial cell of prostatic acinus","CL:0002234","basal cell of prostatic acinus"
"19002","male primordial germ cell","CL:0002238","male gonocyte"
"19003","testis primordial germ cell","CL:0002238","male gonocyte"
"19004","ovary primordial germ cell","CL:0002239","ooblast"
"19005","ovigerm","CL:0002239","ooblast"
"19006","pulmonary myofibroblast","CL:0002241","pulmonary interstitial fibroblast"
"19007","pulmonary septal cell","CL:0002241","pulmonary interstitial fibroblast"
"19008","smooth muscle fiber of sphincter of pupil","CL:0002243","smooth muscle cell of sphincter of pupil"
"19009","smooth muscle fibre of sphincter of pupil","CL:0002243","smooth muscle cell of sphincter of pupil"
"19010","ectocervical squamous cell","CL:0002244","squamous cell of ectocervix"
"19011","pbsc","CL:0002246","peripheral blood stem cell"
"19012","stem cell of intestinal crypt of lieberkuhn","CL:0002250","intestinal crypt stem cell"
"19013","epithelial cell of colon","CL:0002253","epithelial cell of large intestine"
"19014","endometrial stromal cell","CL:0002255","stromal cell of endometrium"
"19015","endometrial stromal fibroblast","CL:0002255","stromal cell of endometrium"
"19016","stromal cell of uterus","CL:0002255","stromal cell of endometrium"
"19017","carotid body sustentacular cell","CL:0002256","supporting cell of carotid body"
"19018","follicular cell of thyroid gland","CL:0002258","thyroid follicular cell"
"19019","principal cell of thyroid gland","CL:0002258","thyroid follicular cell"
"19020","thyroid gland follicular cell","CL:0002258","thyroid follicular cell"
"19021","totipotent neuroepithelial stem cell","CL:0002259","neuroepithelial stem cell"
"19022","colon d-cell","CL:0002265","type D cell of colon"
"19023","colonic delta cell","CL:0002265","type D cell of colon"
"19024","delta cell of colon","CL:0002265","type D cell of colon"
"19025","delta cell of small intestine","CL:0002266","type D cell of small intestine"
"19026","small intestine d-cell","CL:0002266","type D cell of small intestine"
"19027","small intestine delta cell","CL:0002266","type D cell of small intestine"
"19028","delta cell of stomach","CL:0002267","type D cell of stomach"
"19029","stomach d-cell","CL:0002267","type D cell of stomach"
"19030","stomach delta cell","CL:0002267","type D cell of stomach"
"19031","mo enteroendocrine cell","CL:0002270","type EC2 enteroendocrine cell"
"19032","pancreatic polypeptide-secreting cell","CL:0002275","pancreatic PP cell"
"19033","pp cell of pancreatic islet","CL:0002275","pancreatic PP cell"
"19034","pp-cell of pancreatic islet","CL:0002275","pancreatic PP cell"
"19035","type f cell of pancreatic acinus","CL:0002276","obsolete PP cell of pancreatic acinus"
"19036","cck cell","CL:0002277","type I enteroendocrine cell"
"19037","type k enteroendocrine cell","CL:0002278","GIP cell"
"19038","n cell","CL:0002280","type N enteroendocrine cell"
"19039","a-like","CL:0002284","type X enteroendocrine cell"
"19040","x/a-like","CL:0002284","type X enteroendocrine cell"
"19041","taste bud basal cell","CL:0002285","type III taste bud cell"
"19042","type 3 taste cell","CL:0002285","type III taste bud cell"
"19043","type 2 taste cell","CL:0002286","type II taste cell"
"19044","type 4 taste cell","CL:0002287","type IV taste receptor cell"
"19045","dark tongue cell","CL:0002289","type I taste bud cell"
"19046","type i taste cell","CL:0002289","type I taste bud cell"
"19047","type taste 1 cell","CL:0002289","type I taste bud cell"
"19048","y bearing sperm","CL:0002290","Y chromosome-bearing sperm cell"
"19049","y-bearing sperm","CL:0002290","Y chromosome-bearing sperm cell"
"19050","x bearing sperm","CL:0002291","X chromosome-bearing sperm cell"
"19051","x-bearing sperm","CL:0002291","X chromosome-bearing sperm cell"
"19052","glomus cell","CL:0002292","type I cell of carotid body"
"19053","epithelial cell of thymus gland","CL:0002293","epithelial cell of thymus"
"19054","epithelial reticular cell","CL:0002293","epithelial cell of thymus"
"19055","epithelial reticular cell of thymus","CL:0002293","epithelial cell of thymus"
"19056","thymic epithelial cell","CL:0002293","epithelial cell of thymus"
"19057","cystic thymic epithelial cells","CL:0002295","type-6 epithelial cell of thymus"
"19058","large medullary thymic epithelial cells","CL:0002295","type-6 epithelial cell of thymus"
"19059","large mtec","CL:0002295","type-6 epithelial cell of thymus"
"19060","dark thymic epithelial cell","CL:0002296","type-4 epithelial cell of thymus"
"19061","intermediate thymic epithelial cell","CL:0002297","type-3 epithelial cell of thymus"
"19062","undifferentiated medullary thymic epithelial cell","CL:0002298","type-5 epithelial cell of thymus"
"19063","undifferentiated mtec","CL:0002298","type-5 epithelial cell of thymus"
"19064","undifferentiated thymic epithelial cell","CL:0002298","type-5 epithelial cell of thymus"
"19065","pale thymic epithelial cell","CL:0002299","type-2 epithelial cell of thymus"
"19066","spindle shaped medullary thymic epithelial cell","CL:0002300","type-7 epithelial cell of thymus"
"19067","spindle shaped mtec","CL:0002300","type-7 epithelial cell of thymus"
"19068","fibroblast-like synoviocyte","CL:0002301","type B synovial cell"
"19069","synovial fibroblast","CL:0002301","type B synovial cell"
"19070","type a synoviocyte","CL:0002302","type A synovial cell"
"19071","pe cell","CL:0002303","pigmented ciliary epithelial cell"
"19072","nonpigmented ciliary epithelial cell","CL:0002304","non-pigmented ciliary epithelial cell"
"19073","npe cell","CL:0002304","non-pigmented ciliary epithelial cell"
"19074","kidney distal tubule epithelial cell","CL:0002305","epithelial cell of distal tubule"
"19075","kidney proximal tubule epithelial cell","CL:0002306","epithelial cell of proximal tubule"
"19076","epithelial cell of gland of skin","CL:0002308","epithelial cell of skin gland"
"19077","epsilon-acidophil","CL:0002311","mammotroph"
"19078","lactotrope","CL:0002311","mammotroph"
"19079","lactotroph","CL:0002311","mammotroph"
"19080","lactotropic cell","CL:0002311","mammotroph"
"19081","mammotrope","CL:0002311","mammotroph"
"19082","mammotrophic cell","CL:0002311","mammotroph"
"19083","mammotropic cell","CL:0002311","mammotroph"
"19084","somatotrope","CL:0002312","somatotroph"
"19085","somatotropic cell","CL:0002312","somatotroph"
"19086","somatrophic cell","CL:0002312","somatotroph"
"19087","glandular cell of prostate","CL:0002313","endocrine-paracrine cell of prostate gland"
"19088","neuro-epithelial cell of prostate gland","CL:0002313","endocrine-paracrine cell of prostate gland"
"19089","esc","CL:0002322","embryonic stem cell"
"19090","b-myo cell","CL:0002324","basal-myoepithelial cell of mammary gland"
"19091","basal","CL:0002324","basal-myoepithelial cell of mammary gland"
"19092","basal cell of lactiferous duct","CL:0002324","basal-myoepithelial cell of mammary gland"
"19093","basal myoepithelial cell","CL:0002324","basal-myoepithelial cell of mammary gland"
"19094","basal-myoepithelial cell","CL:0002324","basal-myoepithelial cell of mammary gland"
"19095","bm","CL:0002324","basal-myoepithelial cell of mammary gland"
"19096","myoepithelial cell of lactiferous gland","CL:0002324","basal-myoepithelial cell of mammary gland"
"19097","myoepithelial cell of mammary gland","CL:0002324","basal-myoepithelial cell of mammary gland"
"19098","epithelial cell of lactiferous gland","CL:0002325","lactocyte"
"19099","lactaction-associated mammary epithelial cell","CL:0002325","lactocyte"
"19100","lactation-derived mammary cell","CL:0002325","lactocyte"
"19101","lmc","CL:0002325","lactocyte"
"19102","luminal cell of alveolus of lactiferous gland","CL:0002325","lactocyte"
"19103","mammary alveolar cell","CL:0002325","lactocyte"
"19104","mammary alveolar epithelial cell","CL:0002325","lactocyte"
"19105","mammary gland alveolar epithelial cell","CL:0002325","lactocyte"
"19106","mature luminal cell","CL:0002326","luminal epithelial cell of mammary gland"
"19107","breast epithelial cell","CL:0002327","mammary gland epithelial cell"
"19108","mammary epithelial cell","CL:0002327","mammary gland epithelial cell"
"19109","ciliated epithelial cell of the bronchus","CL:0002332","multiciliated epithelial cell of the bronchus"
"19110","ksc","CL:0002337","keratinocyte stem cell"
"19111","cd133-positive prostate epithelial cell","CL:0002339","prostate stem cell"
"19112","decidual nk cell","CL:0002343","decidual natural killer cell, human"
"19113","dnk cell","CL:0002343","decidual natural killer cell, human"
"19114","prenk.bm","CL:0002345","CD27-low, CD11b-low immature natural killer cell, mouse"
"19115","endocardial endothelial cell","CL:0002350","endocardial cell"
"19116","endothelial cell of endocardium","CL:0002350","endocardial cell"
"19117","pancreatic endocrine progenitor","CL:0002351","progenitor cell of endocrine pancreas"
"19118","pancreatic islet progenitor cell","CL:0002351","progenitor cell of endocrine pancreas"
"19119","hemangioblast precursor","CL:0002354","yolk sac hematopoietic stem cell"
"19120","primitive erythroblast","CL:0002355","primitive red blood cell"
"19121","primitive erythrocyte","CL:0002355","primitive red blood cell"
"19122","primitive erythroid cell","CL:0002355","primitive red blood cell"
"19123","megalocyte","CL:0002356","primitive reticulocyte"
"19124","macrocyte","CL:0002357","fetal derived definitive erythrocyte"
"19125","eryp-cfc","CL:0002361","primitive erythroid progenitor"
"19126","inner blood island hemangioblast","CL:0002361","primitive erythroid progenitor"
"19127","gcp","CL:0002362","cerebellar granule cell precursor"
"19128","granule cell precursor","CL:0002362","cerebellar granule cell precursor"
"19129","granule cell progenitor","CL:0002362","cerebellar granule cell precursor"
"19130","corneal fibroblast","CL:0002363","keratocyte"
"19131","corneal keratocyte","CL:0002363","keratocyte"
"19132","ctec","CL:0002364","cortical thymic epithelial cell"
"19133","mtec","CL:0002365","medullary thymic epithelial cell"
"19134","myometrium smooth muscle cell","CL:0002366","myometrial cell"
"19135","trabeculocyte","CL:0002367","trabecular meshwork cell"
"19136","airway epithelial cell","CL:0002368","respiratory tract epithelial cell"
"19137","respiratory epithelial cell","CL:0002368","respiratory tract epithelial cell"
"19138","respiratory goblet cell","CL:0002370","respiratory tract goblet cell"
"19139","respiratory mucosa goblet cells","CL:0002370","respiratory tract goblet cell"
"19140","myofiber","CL:0002372","myotube"
"19141","ghrh secreting cell","CL:0002373","growth hormone releasing hormone secreting cell"
"19142","somatocrinin secreting cell","CL:0002373","growth hormone releasing hormone secreting cell"
"19143","ear receptor cell","CL:0002374","ear hair cell"
"19144","schwann cell precursor cell","CL:0002375","Schwann cell precursor"
"19145","scp","CL:0002375","Schwann cell precursor"
"19146","fetal vgamma2+ thymocyte","CL:0002378","immature Vgamma2-positive fetal thymocyte"
"19147","arachnoid cap cell","CL:0002379","meningothelial cell"
"19148","blastospore","CL:0002385","blastoconidium"
"19149","arthrospore","CL:0002387","arthroconidium"
"19150","non-classical monocyte, human","CL:0002396","CD14-low, CD16-positive monocyte"
"19151","cd16+ monocyte","CL:0002397","CD14-positive, CD16-positive monocyte"
"19152","mature dec precursor","CL:0002401","mature dendritic epithelial T cell precursor"
"19153","mature detc precursor","CL:0002401","mature dendritic epithelial T cell precursor"
"19154","peyers patch b cell","CL:0002402","Peyer's patch B cell"
"19155","fetal vgamma2-positive","CL:0002403","mature Vgamma2-positive fetal thymocyte"
"19156","gammadelta thymocyte","CL:0002405","gamma-delta thymocyte"
"19157","gd thymocyte","CL:0002405","gamma-delta thymocyte"
"19158","vgamma2-positive thymocyte","CL:0002406","immature Vgamma2-positive thymocyte"
"19159","vgamma2-positive","CL:0002407","mature Vgamma2-positive thymocyte"
"19160","vgamma2-negative thymocyte","CL:0002408","immature Vgamma2-negative thymocyte"
"19161","vgamma2-negative","CL:0002409","mature Vgamma2-negative thymocyte"
"19162","pancreas stellate cell","CL:0002410","pancreatic stellate cell"
"19163","pasc","CL:0002410","pancreatic stellate cell"
"19164","vg1.1-positive, vd6.3-negative t cell","CL:0002411","Vgamma1.1-positive, Vdelta6.3-negative thymocyte"
"19165","vg1.1+vd6.3+ t cell","CL:0002412","Vgamma1.1-positive, Vdelta6.3-positive thymocyte"
"19166","mature vg1.1-positive, vd6.3-negative t cell","CL:0002413","mature Vgamma1.1-positive, Vdelta6.3-negative thymocyte"
"19167","immature vg1.1-positive, vd6.3-negative t cell","CL:0002414","immature Vgamma1.1-positive, Vdelta6.3-negative thymocyte"
"19168","immature vg1.1+vd6.3+ t cell","CL:0002415","immature Vgamma1.1-positive, Vdelta6.3-positive thymocyte"
"19169","mature vg1.1+vd6.3+ t cell","CL:0002416","mature Vgamma1.1-positive, Vdelta6.3-positive thymocyte"
"19170","cd3e-positive t cell","CL:0002419","mature T cell"
"19171","cd3epsilon t cell","CL:0002419","mature T cell"
"19172","mature t-cell","CL:0002419","mature T cell"
"19173","etp","CL:0002425","early T lineage precursor"
"19174","pret.etp.th","CL:0002425","early T lineage precursor"
"19175","t.dp.sm.th","CL:0002427","resting double-positive thymocyte"
"19176","activated double-positive thymocyte","CL:0002428","double-positive blast"
"19177","t.dpb.th","CL:0002428","double-positive blast"
"19178","t.dp69+.th","CL:0002429","CD69-positive double-positive thymocyte"
"19179","t.4int8+.th","CL:0002430","CD4-intermediate, CD8-positive double-positive thymocyte"
"19180","t_4int8+_th","CL:0002430","CD4-intermediate, CD8-positive double-positive thymocyte"
"19181","t.4+8int.th","CL:0002431","CD4-positive, CD8-intermediate double-positive thymocyte"
"19182","t_4+8int_th","CL:0002431","CD4-positive, CD8-intermediate double-positive thymocyte"
"19183","cd24-positive, cd4 single-positive semimature thymocyte","CL:0002432","CD24-positive, CD4 single-positive thymocyte"
"19184","t.4sp24int.th","CL:0002432","CD24-positive, CD4 single-positive thymocyte"
"19185","intermediate cd4-single-positive","CL:0002433","CD69-positive, CD4-positive single-positive thymocyte"
"19186","t.4sp69+.th","CL:0002433","CD69-positive, CD4-positive single-positive thymocyte"
"19187","cd24-positive, cd8 single-positive semimature thymocyte","CL:0002434","CD24-positive, CD8 single-positive thymocyte"
"19188","t.8sp24int.th","CL:0002434","CD24-positive, CD8 single-positive thymocyte"
"19189","intermediate cd8-single-positive","CL:0002435","CD69-positive, CD8-positive single-positive thymocyte"
"19190","t.8sp69+.th","CL:0002435","CD69-positive, CD8-positive single-positive thymocyte"
"19191","t.4sp24-.th","CL:0002436","mature CD4 single-positive thymocyte"
"19192","t.8sp24-.th","CL:0002437","mature CD8 single-positive thymocyte"
"19193","nk.sp","CL:0002438","NK1.1-positive natural killer cell, mouse"
"19194","nk1.1-positive nk cell","CL:0002438","NK1.1-positive natural killer cell, mouse"
"19195","nk.g2a+.sp","CL:0002439","NKGA2-positive natural killer cell, mouse"
"19196","nk.49d+.sp","CL:0002440","Ly49D-positive natural killer cell, mouse"
"19197","nk.94+.sp","CL:0002441","CD94-positive natural killer cell, mouse"
"19198","cd94- ly49i-negative nk cell","CL:0002442","CD94-negative, Ly49CI-negative natural killer cell, mouse"
"19199","nk.49cl-94-.sp","CL:0002442","CD94-negative, Ly49CI-negative natural killer cell, mouse"
"19200","ly49i-positive nk cell","CL:0002443","Ly49CI-positive natural killer cell, mouse"
"19201","nk.49cl+.sp","CL:0002443","Ly49CI-positive natural killer cell, mouse"
"19202","lyh49h-positive","CL:0002444","Ly49H-positive natural killer cell, mouse"
"19203","nk.49d-.sp","CL:0002445","Ly49D-negative natural killer cell, mouse"
"19204","ly49i-negative nk cell","CL:0002446","Ly49CI-negative natural killer cell, mouse"
"19205","nk.49cl-.sp","CL:0002446","Ly49CI-negative natural killer cell, mouse"
"19206","nk.94-.sp","CL:0002447","CD94-negative natural killer cell, mouse"
"19207","lyh49h-negative","CL:0002448","Ly49H-negative natural killer cell, mouse"
"19208","nk.49cl+94+.sp","CL:0002449","CD94-positive Ly49CI-positive natural killer cell, mouse"
"19209","ng2 cell","CL:0002453","oligodendrocyte precursor cell"
"19210","o2-a","CL:0002453","oligodendrocyte precursor cell"
"19211","opc","CL:0002453","oligodendrocyte precursor cell"
"19212","polydendrocyte","CL:0002453","oligodendrocyte precursor cell"
"19213","dc.8-4-11b+","CL:0002454","CD4-negative, CD8-alpha-negative, CD11b-positive dendritic cell"
"19214","spleen double-negative dendritic cell","CL:0002454","CD4-negative, CD8-alpha-negative, CD11b-positive dendritic cell"
"19215","dc.pdc.8-","CL:0002455","CD8-alpha-negative plasmacytoid dendritic cell"
"19216","dc.pdc.8+","CL:0002456","CD8-alpha-positive plasmacytoid dendritic cell"
"19217","dc.8-.th","CL:0002460","CD8-alpha-negative thymic conventional dendritic cell"
"19218","dc.sirpa+.ad","CL:0002463","SIRPa-positive adipose dendritic cell"
"19219","dc.sirpa-.ad","CL:0002464","SIRPa-negative adipose dendritic cell"
"19220","dc.11closer.si","CL:0002466","small intestine serosal dendritic cell"
"19221","mds.gr1hi","CL:0002467","Gr1-high myeloid suppressor cell"
"19222","mds.gr1lo","CL:0002468","Gr1-low myeloid suppressor cell"
"19223","mo.6c+ii-","CL:0002469","MHC-II-negative classical monocyte"
"19224","mo.6c+ii","CL:0002470","MHC-II-positive classical monocyte"
"19225","mo.6c-ii-","CL:0002471","MHC-II-negative non-classical monocyte"
"19226","mo.6c-iiint","CL:0002472","MHC-II-low non-classical monocyte"
"19227","mo.6c-ii+","CL:0002473","MHC-II-high non-classical monocyte"
"19228","mf.bm","CL:0002476","bone marrow macrophage"
"19229","mf.autofl.ad","CL:0002478","F4/80-negative adipose macrophage"
"19230","mf.f480+.ad","CL:0002479","F4/80-positive adipose macrophage"
"19231","giant trophoblast cell","CL:0002488","trophoblast giant cell"
"19232","cd4-cd8- t cell","CL:0002489","double negative thymocyte"
"19233","double negative t cell","CL:0002489","double negative thymocyte"
"19234","heart cell","CL:0002494","cardiocyte"
"19235","embryonic cardiomyocyte","CL:0002495","fetal cardiomyocyte"
"19236","neonatal cardiomyocyte","CL:0002495","fetal cardiomyocyte"
"19237","intraepithelial t cell","CL:0002496","intraepithelial lymphocyte"
"19238","intraepithelial t-cell","CL:0002496","intraepithelial lymphocyte"
"19239","spongiotrophoblast","CL:0002499","spongiotrophoblast cell"
"19240","intestinal smooth muscle cell","CL:0002504","enteric smooth muscle cell"
"19241","dc.103-11b+.lv","CL:0002505","liver CD103-negative dendritic cell"
"19242","dc.103+11b-.lv","CL:0002506","liver CD103-positive dendritic cell"
"19243","tgd.vg5+.iel","CL:0002513","Vgamma5-positive CD8-alpha alpha positive gamma-delta intraepithelial T cell"
"19244","tgd.vg5-.iel","CL:0002514","Vgamma5-negative CD8-alpha alpha positive gamma-delta intraepithelial T cell"
"19245","interrenal noradrenaline type cell","CL:0002515","interrenal norepinephrine type cell"
"19246","type n interrenal cell","CL:0002515","interrenal norepinephrine type cell"
"19247","interrenal adrenaline secreting cell","CL:0002517","interrenal epinephrin secreting cell"
"19248","type a interrenal cell","CL:0002517","interrenal epinephrin secreting cell"
"19249","subcutaneous fat cell","CL:0002521","subcutaneous adipocyte"
"19250","mesonephric glomerular visceral epithelial cell","CL:0002523","mesonephric podocyte"
"19251","metanephric glomerular visceral epithelial cell","CL:0002525","metanephric podocyte"
"19252","cd14+ dermal dc","CL:0002526","CD14-positive dermal dendritic cell"
"19253","cd1a+ dermal dc","CL:0002529","CD1a-positive dermal dendritic cell"
"19254","cd16+ mdc","CL:0002532","CD16-positive myeloid dendritic cell"
"19255","cd16-mdc","CL:0002532","CD16-positive myeloid dendritic cell"
"19256","cervical canal epithelial cell","CL:0002535","epithelial cell of cervix"
"19257","cervical canal of uterus epithelial cell","CL:0002535","epithelial cell of cervix"
"19258","cervix epithelial cell","CL:0002535","epithelial cell of cervix"
"19259","cervix of uterus epithelial cell","CL:0002535","epithelial cell of cervix"
"19260","epithelial cell of cervical canal","CL:0002535","epithelial cell of cervix"
"19261","epithelial cell of cervical canal of uterus","CL:0002535","epithelial cell of cervix"
"19262","epithelial cell of cervix of uterus","CL:0002535","epithelial cell of cervix"
"19263","epithelial cell of neck of uterus","CL:0002535","epithelial cell of cervix"
"19264","epithelial cell of uterine cervix","CL:0002535","epithelial cell of cervix"
"19265","neck of uterus epithelial cell","CL:0002535","epithelial cell of cervix"
"19266","uterine cervix epithelial cell","CL:0002535","epithelial cell of cervix"
"19267","amniotic epithelial cell","CL:0002536","epithelial cell of amnion"
"19268","amniotic membrane stem cell","CL:0002537","amnion mesenchymal stem cell"
"19269","small bile duct cholangiocyte","CL:0002538","intrahepatic cholangiocyte"
"19270","endothelial cell of vein","CL:0002543","vein endothelial cell"
"19271","venous endothelial cell","CL:0002543","vein endothelial cell"
"19272","cardiac fibroblast","CL:0002548","fibroblast of cardiac tissue"
"19273","trichocyte","CL:0002562","hair germinal matrix cell"
